% Model:              Axial_secondary_force.mph
% Version:            COMSOL 5.0.0.243
% Date:               May 5 2025, 13:42
% Dimension:          1
% Nodes:              44
% Expressions:        1
% Description:        Global
% r                       Height
1.3000000000000003        1.2849038139285946E-8
1.5000000000000002        -8.553596454107329E-9
1.7000000000000002        -2.3900374906636067E-8
1.9000000000000001        -3.5499708609177334E-8
2.1                       -4.26907967741136E-8
2.3                       -4.97222683546504E-8
2.5000000000000004        -5.436721338989128E-8
2.7                       -5.8326137308590186E-8
2.9000000000000004        -6.166594378976555E-8
3.1000000000000005        -6.466396798311804E-8
3.3                       -6.693848528223424E-8
3.5000000000000004        -6.876416319674811E-8
3.7                       -7.071698225481481E-8
3.900000000000001         -7.122878304186203E-8
4.1000000000000005        -7.183244922912415E-8
4.3                       -7.199989036586657E-8
4.500000000000001         -7.171643496841915E-8
4.7                       -7.090699415569333E-8
4.9                       -7.00065173923734E-8
5.1000000000000005        -6.861603493476906E-8
5.3                       -6.659708977902728E-8
5.500000000000001         -6.449441229332622E-8
5.7                       -6.180681850715104E-8
5.8999999999999995        -5.8920382763366E-8
6.1000000000000005        -5.5709382701378626E-8
6.3                       -5.216849475316093E-8
6.500000000000001         -4.841354587477065E-8
6.7                       -4.4330986785267117E-8
6.8999999999999995        -4.007331321065961E-8
7.1000000000000005        -3.550216482700375E-8
7.3                       -3.0795893191891564E-8
7.500000000000001         -2.5926280112785676E-8
7.7                       -2.088565740026204E-8
7.9                       -1.575132980422784E-8
8.100000000000001         -1.0537925779386973E-8
8.3                       -5.260734375891416E-9
8.5                       3.859238324296482E-11
8.700000000000001         5.329649799049752E-9
8.9                       1.0591757266577056E-8
9.1                       1.5795766061124213E-8
9.3                       2.0901704401018626E-8
9.500000000000002         2.5900732485498433E-8
9.700000000000003         3.0750785240120675E-8
9.9                       3.540097860593972E-8
